Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Passengers,Serious.or.Fatal.Fraction,Aircraft.Destroyed,Make.Model
20220419104962,Accident,ERA22LA195,2022-03-18,"Carlisle, PA",United States,Substantial,Airplane,N4468X,PIPER,PA-32-300,No,1.0,,Personal,0.0,0.0,0.0,6.0,VMC,Other,6.0,0.0,False,PIPER PA-32-300
20220320104801,Accident,ERA22FA161,2022-03-19,"Dahlonega, GA",United States,Substantial,Airplane,N1410F,CESSNA,172,No,1.0,,Personal,1.0,0.0,0.0,0.0,VMC,Other,1.0,1.0,False,CESSNA 172
20220328104842,Accident,WPR22LA130,2022-03-19,"Glendale, AZ",United States,Substantial,Airplane,N101YY,OTHER,P1,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,OTHER P1
20220330104858,Incident,GAA22WA134,2022-03-19,"San Fernando, OF",Argentina,Unknown,Airplane,LV-HWL,BEECH,95B55,No,,,Other,0.0,0.0,0.0,2.0,,Other,2.0,0.0,False,BEECH 95B55
20220406104898,Accident,WPR22LA144,2022-03-19,"Alpine, CA",United States,Substantial,Airplane,N42764,PIPER,PA-28-151,No,1.0,,Personal,0.0,0.0,0.0,3.0,VMC,Other,3.0,0.0,False,PIPER PA-28-151
20220320104803,Accident,ANC22LA024,2022-03-20,"Talkeetna, AK",United States,Substantial,Airplane,N6332D,CESSNA,172N,No,1.0,,Personal,0.0,0.0,0.0,4.0,VMC,Other,4.0,0.0,False,CESSNA 172N
20220321104808,Accident,GAA22WA125,2022-03-20,"Ringsted, ",Denmark,Substantial,Airplane,N745AJ,CIRRUS,SR22,No,,,Other,0.0,2.0,0.0,0.0,,Other,2.0,1.0,False,CIRRUS SR22
20220322104811,Accident,GAA22WA126,2022-03-20,"Antioquia, OF",Colombia,Substantial,Airplane,HK3282,AYRES,SRT34,No,,,Other,0.0,0.0,1.0,0.0,,Other,1.0,0.0,False,AYRES SRT34
20220413104939,Accident,CEN22LA174,2022-03-20,"Paragould, AR",United States,Substantial,Airplane,N1953B,LUSCOMBE,8A,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,LUSCOMBE 8A
20220414104944,Incident,DCA22WA114,2022-03-20,"Barcelona, ",Spain,Minor,Airplane,N777AN,BOEING,777-223,No,2.0,,Other,0.0,0.0,0.0,0.0,,Other,0.0,0.0,False,BOEING 777-223
20220321104805,Accident,ANC22LA025,2022-03-21,"Kekaha, HI",United States,Destroyed,Airplane,N98763,CESSNA,172P,No,1.0,,Other Work Use,2.0,0.0,0.0,0.0,IMC,Other,2.0,1.0,True,CESSNA 172P
20220321104807,Accident,DCA22WA102,2022-03-21,"Wuzhou, ",China,Destroyed,Airplane,B-1791,BOEING,737,No,,,Other,132.0,0.0,0.0,0.0,,Other,132.0,1.0,True,BOEING 737
20220322104813,Accident,GAA22WA128,2022-03-21,"Brantford, ",Canada,Substantial,Airplane,C-GOFD,CESSNA,172RG,No,,,Other,1.0,0.0,0.0,0.0,,Other,1.0,1.0,False,CESSNA 172RG
20220324104825,Accident,GAA22WA131,2022-03-21,"Bragança Paulista, OF",Brazil,Substantial,Airplane,PT-BOK,PIPER,PA28-140,No,,,Other,0.0,0.0,2.0,0.0,,Other,2.0,0.0,False,PIPER PA28-140
20220328104836,Accident,CEN22LA155,2022-03-22,"Plains, TX",United States,Substantial,Airplane,N7199G,CESSNA,172K,No,1.0,Reciprocating,Aerial Observation,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,CESSNA 172K
20220328104834,Accident,CEN22LA153,2022-03-23,"Olive Branch, MS",United States,Substantial,Airplane,N627PR,PIPER,PA-46-600TP,No,1.0,,Personal,0.0,0.0,0.0,1.0,VMC,Other,1.0,0.0,False,PIPER PA-46-600TP
20220328104847,Accident,WPR22LA135,2022-03-23,"Torrance, CA",United States,Substantial,Airplane,N863SL,OTHER,SLING LSA,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Other,2.0,0.0,False,OTHER SLING LSA
20220426105001,Accident,GAA22WA163,2022-03-23,"Bonn-Hangelar, ",Georgia,Substantial,Airplane,D-ECUB,CESSNA,F172,No,,,Other,0.0,0.0,1.0,0.0,,Other,1.0,0.0,False,CESSNA F172
20220324104826,Accident,WPR22LA127,2022-03-24,"Washington, UT",United States,Substantial,Airplane,N111NW,PIPER,PA-32R-300,No,1.0,,Personal,0.0,0.0,2.0,0.0,VMC,Other,2.0,0.0,False,PIPER PA-32R-300
20220328104840,Accident,CEN22LA156,2022-03-24,"Springtown, TX",United States,Substantial,Airplane,N733KP,CESSNA,172N,No,1.0,,Instructional,0.0,2.0,0.0,0.0,VMC,Other,2.0,1.0,False,CESSNA 172N
20220402104873,Accident,GAA22WA139,2022-03-24,"Hilversum, ",Netherlands,Substantial,Airplane,N611JP,PIPER,PA28,No,,,Other,0.0,0.0,0.0,1.0,,Other,1.0,0.0,False,PIPER PA28
20220419104963,Accident,CEN22LA178,2022-03-24,"Sunflower, MS",United States,Substantial,Airplane,N4583S,CESSNA,L-19E,No,1.0,,Personal,0.0,1.0,0.0,0.0,VMC,Other,1.0,1.0,False,CESSNA L-19E
20220325104827,Accident,ERA22LA167,2022-03-25,"Winder, GA",United States,Destroyed,Airplane,N62283,CESSNA,172P,No,1.0,,Instructional,0.0,0.0,2.0,0.0,VMC,Other,2.0,0.0,True,CESSNA 172P
20220326104829,Accident,CEN22LA152,2022-03-25,"Ash Flat, AR",United States,Substantial,Airplane,N8869V,BELLANCA,17-30A,No,1.0,,Personal,0.0,0.0,1.0,0.0,VMC,Other,1.0,0.0,False,BELLANCA 17-30A
